Data de cadastro;Inscrições Acumulado
01/08/2025;150
02/08/2025;187
04/08/2025;560
05/08/2025;1741
06/08/2025;3234
07/08/2025;3956
08/08/2025;4317
09/08/2025;4683
10/08/2025;4720
11/08/2025;5423
12/08/2025;6620
13/08/2025;7500
14/08/2025;8430
15/08/2025;9607
16/08/2025;9672
17/08/2025;10342
18/08/2025;11794
19/08/2025;13621
20/08/2025;15919
21/08/2025;18475
22/08/2025;20569
23/08/2025;20734
24/08/2025;20941
25/08/2025;23897
26/08/2025;26428
27/08/2025;30062
28/08/2025;32248
29/08/2025;35382
30/08/2025;36237
31/08/2025;36419
01/09/2025;39160
02/09/2025;41621
03/09/2025;45136
04/09/2025;48066
05/09/2025;50781
06/09/2025;51256
07/09/2025;51968
08/09/2025;54776
09/09/2025;59131
10/09/2025;62959
11/09/2025;72805
12/09/2025;80280
13/09/2025;81806
14/09/2025;84063
15/09/2025;93822
16/09/2025;103281
17/09/2025;117805
18/09/2025;132488
19/09/2025;146464
20/09/2025;148530
21/09/2025;151852
22/09/2025;163907
23/09/2025;178590
24/09/2025;194941
25/09/2025;210618
26/09/2025;223059
27/09/2025;227840
28/09/2025;234111
29/09/2025;263635
30/09/2025;299182
01/10/2025;308665
02/10/2025;316330
03/10/2025;327849
04/10/2025;333055
05/10/2025;348044
06/10/2025;348152
07/10/2025;348157
08/10/2025;348161
